task,seed,fold,model,pearson,rmse,mae,eta,expert_pearson,expert_rmse,expert_mae,selected_top_k,selected_alpha,selected_ratio,prior_type
FI,3232,4,A5,0.2635782078351566,4.529854651330481,3.8712326801791894,0.1,-0.06906625288040727,5.127699258868829,4.21719318964846,25.0,1.0,1.0,A5
FI,3232,4,A6,0.2702351165019197,4.528676460741694,3.861568626860915,0.05,-0.1243059778140797,4.846880205404808,4.119855813402788,10.0,10.0,1.0,A6
FI,3333,0,A0,0.31697276820355524,4.329967911353701,3.754752436462316,,,,,,,,matched
FI,3333,0,A1,0.31697276820355524,4.329967911353701,3.754752436462316,0.0,0.12984189283922232,4.46759774065137,3.7860195298785824,,,,matched
FI,3333,0,A2,0.31697276820355524,4.329967911353701,3.754752436462316,0.0,0.18030959131678034,4.463182044073045,3.8681897751078576,10.0,,,matched
FI,3333,0,A3,0.31697276820355524,4.329967911353701,3.754752436462316,0.0,0.1299617197085085,4.484257319076224,3.902966515858192,5.0,1000.0,1.0,A3
FI,3333,0,A4,0.31697276820355524,4.329967911353701,3.754752436462316,0.0,0.1299617197085085,4.484257319076224,3.902966515858192,5.0,1000.0,1.0,A4
FI,3333,0,A5,0.31697276820355524,4.329967911353701,3.754752436462316,0.0,0.13157010627730276,4.476145577692705,3.880395751757884,15.0,1000.0,1.0,A5
FI,3333,0,A6,0.31697276820355524,4.329967911353701,3.754752436462316,0.0,-0.13178818282130447,4.502486400489285,3.9204925244899225,5.0,1000.0,1.0,A6
FI,3333,1,A0,0.4426685004309544,4.96056874816631,4.224058118767974,,,,,,,,matched
FI,3333,1,A1,0.4426685004309544,4.96056874816631,4.224058118767974,0.0,-0.04884629421054148,5.543454040198922,4.678333486934866,,,,matched
FI,3333,1,A2,0.4426685004309544,4.96056874816631,4.224058118767974,0.0,0.03223966876502506,5.546496991720893,4.648648424498112,5.0,,,matched
FI,3333,1,A3,0.4426685004309544,4.96056874816631,4.224058118767974,0.0,0.03223966876502506,5.546496991720893,4.648648424498112,5.0,0.001,0.0,A3
FI,3333,1,A4,0.4426685004309544,4.96056874816631,4.224058118767974,0.0,0.03223966876502506,5.546496991720893,4.648648424498112,5.0,0.001,0.0,A4
