task,seed,outer_fold,model,pearson,rmse,mae,selected_lambda,selected_r_A,selected_r_S,n_semantic_edges,n_generic_edges,fused_pearson,fused_rmse,fused_mae
fluid_intelligence,707,2,late_fusion_reference,0.03875118945844244,5.171589093618207,4.157389852489333,,,,1105,5565,0.3210110342161906,4.203464402426808,3.5480797892162386
fluid_intelligence,707,3,joint_baseline,0.3912375641456124,4.702930548704946,3.9249187537472645,100.0,1.0,0.5,1105,5565,,,
fluid_intelligence,707,3,palf_mpr,0.4020301871829258,4.671960111132191,3.918488265944239,100.0,0.25,0.25,1105,5565,,,
fluid_intelligence,707,3,late_fusion_reference,0.33913925069377493,4.78911003832354,4.094969477971905,,,,1105,5565,0.3672356417341616,4.716242021267791,4.00023407542942
fluid_intelligence,707,4,joint_baseline,0.43939300384472,4.459247503872784,3.7698780867428576,0.01,1.0,0.1,1105,5565,,,
fluid_intelligence,707,4,palf_mpr,0.4424603282381415,4.447874045802083,3.7608186671673938,0.01,0.5,0.1,1105,5565,,,
fluid_intelligence,707,4,late_fusion_reference,0.19312676001511783,4.806348521785646,4.153882242238675,,,,1105,5565,0.46661278617147917,4.3907613969605555,3.831084978490252
fluid_intelligence,808,0,joint_baseline,0.3569807675288771,4.980014140297863,4.20461739943325,100.0,1.0,0.25,1105,5565,,,
fluid_intelligence,808,0,palf_mpr,0.34290567181428966,5.014333885983228,4.23679405846047,100.0,0.1,0.1,1105,5565,,,
fluid_intelligence,808,0,late_fusion_reference,0.10780559186986977,5.8115652509624045,4.710908126677841,,,,1105,5565,0.3307309689165677,5.027161364251213,4.23978174766831
fluid_intelligence,808,1,joint_baseline,0.2201344462704629,4.99237392459864,4.328668535850782,100.0,1.0,0.5,1105,5565,,,
fluid_intelligence,808,1,palf_mpr,0.23337893318198738,4.9395794033616784,4.286264140762239,100.0,0.5,0.25,1105,5565,,,
fluid_intelligence,808,1,late_fusion_reference,0.190308867598693,4.8840360335398945,4.335683524675337,,,,1105,5565,0.2590321142198278,4.791045717065497,4.2987444358409475
fluid_intelligence,808,2,joint_baseline,0.3713203661673996,4.416567838004192,3.60236640362015,100.0,1.0,0.1,1105,5565,,,
fluid_intelligence,808,2,palf_mpr,0.3829037556226172,4.386439230089505,3.538325900108169,100.0,0.1,0.1,1105,5565,,,
fluid_intelligence,808,2,late_fusion_reference,0.3309408330275122,4.394044787189183,3.6121026077797724,,,,1105,5565,0.44284948668355817,4.240187776314175,3.488278982547409
fluid_intelligence,808,3,joint_baseline,0.28777689274686774,4.837455195258541,3.9427126564352974,0.01,1.0,0.25,1105,5565,,,
fluid_intelligence,808,3,palf_mpr,0.2858538405125067,4.842942576675381,3.9518987869762987,0.01,0.1,0.1,1105,5565,,,
fluid_intelligence,808,3,late_fusion_reference,0.3030246355467862,4.664634008019033,3.994815550696255,,,,1105,5565,0.4028591945736593,4.5283879183983435,3.8742101829360176
fluid_intelligence,808,4,joint_baseline,0.4427919884414183,4.2388302920690935,3.298219542214913,100.0,1.0,1.0,1105,5565,,,
fluid_intelligence,808,4,palf_mpr,0.43771861279920393,4.2731548974442,3.3210089185288556,100.0,0.5,1.0,1105,5565,,,
fluid_intelligence,808,4,late_fusion_reference,0.2726637940711652,4.793260155304592,3.8500735487429414,,,,1105,5565,0.4694779016888806,4.106687661754376,3.2024277123117155
