seed,fold,task,prior_type,mask_family,mask_size,lambda_r,laplacian_ratio,expert_w_fc,expert_w_sc,alpha,ncr_final_r,ridge_final_r,baseline_r
1313,3,WM,cross_task,direct_topk,300,0.1,1.0,1.0,0.0,0.05,0.3889290360045912,0.3889192805585272,0.3876136458268013
1313,3,WM,shuffled,roi_incident,5,0.1,1.0,1.0,0.0,0.0,0.3876136458268013,0.3876136458268013,0.3876136458268013
1313,3,WM,random,direct_topk,300,0.1,1.0,0.85,0.15000000000000002,0.1,0.39034020186058555,0.38893308983812663,0.3876136458268013
1313,3,FI,matched,direct_topk,600,1000.0,0.0,0.4,0.6,0.45,0.40339143779002384,0.415406109531867,0.3852531326916838
1313,3,FI,cross_task,roi_incident,5,1000.0,0.0,0.25,0.75,0.3,0.4046036468272304,0.4099507825614443,0.3852531326916838
1313,3,FI,shuffled,roi_incident,15,1000.0,0.0,0.4,0.6,0.25,0.38502060801958893,0.38466626372593526,0.3852531326916838
1313,3,FI,random,direct_topk,100,100.0,0.0,0.45,0.55,0.35,0.3687160263292202,0.3742441788199082,0.3852531326916838
1313,4,WM,matched,roi_incident,15,1000.0,0.0,0.95,0.050000000000000044,0.9,0.2252984777691701,0.20631363037784325,0.36306829457608664
1313,4,WM,cross_task,direct_topk,600,0.1,1.0,0.85,0.15000000000000002,0.3,0.3504074334863527,0.35038508084373143,0.36306829457608664
1313,4,WM,shuffled,roi_incident,15,0.01,1.0,0.3,0.7,0.3,0.35273739605629817,0.3404473292271735,0.36306829457608664
1313,4,WM,random,direct_topk,600,0.1,1.0,0.95,0.050000000000000044,0.0,0.36306829457608664,0.36306829457608664,0.36306829457608664
1313,4,FI,matched,direct_topk,100,1000.0,0.0,0.4,0.6,0.3,0.22719101442573303,0.22813789795665398,0.21919579096182948
1313,4,FI,cross_task,direct_topk,100,1000.0,0.0,0.55,0.44999999999999996,0.15,0.20940454129376718,0.20354165544468872,0.21919579096182948
1313,4,FI,shuffled,direct_topk,1200,1000.0,0.0,0.25,0.75,0.4,0.23939784985816434,0.24135347973022314,0.21919579096182948
1313,4,FI,random,direct_topk,100,1000.0,0.0,0.15,0.85,0.0,0.21919579096182948,0.21919579096182948,0.21919579096182948
1414,0,WM,matched,direct_topk,1200,0.1,1.0,0.7,0.30000000000000004,0.25,0.11539392165709518,0.08447053412287187,0.09855479022261042
1414,0,WM,cross_task,roi_incident,10,1000.0,0.0,0.35,0.65,0.35,0.09762132570138435,0.09247165294773421,0.09855479022261042
1414,0,WM,shuffled,direct_topk,1200,100.0,0.0,0.7,0.30000000000000004,0.5,0.22161679089846617,0.22161679089846498,0.09855479022261042
1414,0,WM,random,roi_incident,5,0.1,1.0,0.8,0.19999999999999996,0.45,0.09352038486863011,0.09065823264140555,0.09855479022261042
1414,0,FI,matched,roi_incident,15,1000.0,0.0,0.6,0.4,0.4,0.37354159489029937,0.37354159489029926,0.37249569066280325
1414,0,FI,cross_task,roi_incident,15,1000.0,0.0,0.5,0.5,0.35,0.34760980714144374,0.3476098071414437,0.37249569066280325
1414,0,FI,shuffled,roi_incident,15,1000.0,0.0,0.35,0.65,0.0,0.37249569066280325,0.37249569066280325,0.37249569066280325
1414,0,FI,random,direct_topk,300,1000.0,0.0,0.35,0.65,0.05,0.373980725179898,0.3739807251798979,0.37249569066280325
1414,1,WM,matched,direct_topk,600,1000.0,0.0,0.65,0.35,0.0,0.3799975307426978,0.3799975307426978,0.3799975307426978
1414,1,WM,cross_task,roi_incident,10,1000.0,0.0,0.5,0.5,0.0,0.3799975307426978,0.3799975307426978,0.3799975307426978
1414,1,WM,shuffled,direct_topk,1200,0.01,1.0,0.1,0.9,0.55,0.3837112054803154,0.38720855728834924,0.3799975307426978
1414,1,WM,random,direct_topk,1200,100.0,0.0,0.3,0.7,0.0,0.3799975307426978,0.3799975307426978,0.3799975307426978
1414,1,FI,matched,direct_topk,600,1000.0,0.0,0.45,0.55,0.0,0.2212656951693201,0.2212656951693201,0.2212656951693201
1414,1,FI,cross_task,direct_topk,100,100.0,0.0,0.1,0.9,0.0,0.2212656951693201,0.2212656951693201,0.2212656951693201
1414,1,FI,shuffled,roi_incident,15,1000.0,0.0,0.2,0.8,0.15,0.22922768800925059,0.2321966095549628,0.2212656951693201
1414,1,FI,random,direct_topk,100,1000.0,0.0,0.5,0.5,0.0,0.2212656951693201,0.2212656951693201,0.2212656951693201
1414,2,WM,matched,direct_topk,1200,1.0,0.3,0.9,0.09999999999999998,0.15,0.24105927949063893,0.23985590978629748,0.2386060604651622
1414,2,WM,cross_task,direct_topk,1200,1000.0,0.0,0.9,0.09999999999999998,0.0,0.2386060604651622,0.2386060604651622,0.2386060604651622
1414,2,WM,shuffled,roi_incident,15,1000.0,0.0,0.5,0.5,0.1,0.24094378114074805,0.24094378114074808,0.2386060604651622
1414,2,WM,random,direct_topk,1200,1000.0,0.0,0.25,0.75,0.0,0.2386060604651622,0.2386060604651622,0.2386060604651622
1414,2,FI,matched,direct_topk,300,1000.0,0.0,0.25,0.75,0.15,0.44075256354983716,0.4322506658708659,0.41189113339432193
1414,2,FI,cross_task,direct_topk,100,1000.0,0.0,0.9,0.09999999999999998,0.05,0.4127504711846788,0.41708722743155574,0.41189113339432193
1414,2,FI,shuffled,roi_incident,5,1000.0,0.0,0.1,0.9,0.4,0.3937075159702955,0.39926002628868223,0.41189113339432193
1414,2,FI,random,direct_topk,1200,1000.0,0.0,0.55,0.44999999999999996,0.0,0.41189113339432193,0.41189113339432193,0.41189113339432193
