task,seed,outer_fold,condition,model,pearson,rmse,mae,n_train,n_test
working_memory,1,4,R0,FC,0.25915044405047016,11.584411086891313,8.701619924197324,330,82
working_memory,1,4,R0,SC,0.1880710165876515,11.300480125656815,8.86949953956614,330,82
working_memory,1,4,R0,FP,0.31655298654292696,10.587709541268469,8.088440002793869,330,82
working_memory,1,4,R0,fused,0.28575138236236153,10.711727167521708,8.283822561404769,330,82
working_memory,1,4,R0,equal_weight,0.2840966121904766,10.648422094055423,8.271327825245372,330,82
working_memory,2,0,R0,FC,0.33633522058744836,12.801379231240663,10.585895526824556,329,83
working_memory,2,0,R0,SC,0.14680313951390953,12.773319090568899,10.7992868901525,329,83
working_memory,2,0,R0,FP,0.33869906639818503,12.714566330363171,10.510918674031918,329,83
working_memory,2,0,R0,fused,0.34254501074393084,12.326888329195821,10.097655797001096,329,83
working_memory,2,0,R0,equal_weight,0.3372998154851362,11.846892763815633,9.636909653740977,329,83
working_memory,2,1,R0,FC,0.36602557910438005,11.46037854755019,9.36400566789761,329,83
working_memory,2,1,R0,SC,0.19298499084545145,11.47370910974906,9.329511076590814,329,83
working_memory,2,1,R0,FP,0.38618555330142934,10.397958563217342,8.388473434827086,329,83
working_memory,2,1,R0,fused,0.37379220425452986,11.077490997358616,9.015587617796847,329,83
working_memory,2,1,R0,equal_weight,0.379868025337987,10.365204587291258,8.47926187618056,329,83
working_memory,2,2,R0,FC,0.26177983450531245,13.097718345761852,10.185070601357069,330,82
working_memory,2,2,R0,SC,0.13045294930776022,12.15196265514668,9.602792313882993,330,82
working_memory,2,2,R0,FP,0.251852486487976,11.906655711671208,9.207853944511733,330,82
working_memory,2,2,R0,fused,0.270621910843033,12.223890306721698,9.446649580663168,330,82
working_memory,2,2,R0,equal_weight,0.27149567184809276,11.510851495725888,9.053167298988788,330,82
working_memory,2,3,R0,FC,0.27429204345693337,12.110199729884673,9.853876113749502,330,82
working_memory,2,3,R0,SC,0.2602030814016132,11.237849169200711,9.556014525580801,330,82
working_memory,2,3,R0,FP,0.29703179405367885,10.955796538068833,9.410530247191911,330,82
working_memory,2,3,R0,fused,0.29909869675467377,11.399317571356336,9.333254911371633,330,82
working_memory,2,3,R0,equal_weight,0.3217508318711218,10.999045187330847,9.235804026336195,330,82
working_memory,2,4,R0,FC,0.2328051661020903,12.06732174960654,9.827188706921913,330,82
working_memory,2,4,R0,SC,0.03266357714682908,12.19528734184252,9.502382390788533,330,82
working_memory,2,4,R0,FP,0.2507771369626425,10.956356253948822,9.039099018180115,330,82
working_memory,2,4,R0,fused,0.19375360506499126,11.178589644003182,8.911311901004431,330,82
working_memory,2,4,R0,equal_weight,0.19375360506499126,11.178589644003182,8.911311901004431,330,82
working_memory,3,0,R0,FC,0.16178700074653538,11.44663321248821,9.710457178039363,329,83
working_memory,3,0,R0,SC,0.14503629664146206,10.488011964086983,8.51415615263242,329,83
working_memory,3,0,R0,FP,0.23432069483442025,10.054323953018613,8.5606079759465,329,83
working_memory,3,0,R0,fused,0.19824777835079976,10.080811614777705,8.405672472303742,329,83
working_memory,3,0,R0,equal_weight,0.1975965889111228,10.12392878111596,8.442089131087466,329,83
working_memory,3,1,R0,FC,0.13672259970906078,13.912617491150696,11.67243746245386,329,83
working_memory,3,1,R0,SC,0.14391514556941717,12.973851903833829,10.994247992409905,329,83
working_memory,3,1,R0,FP,0.16706819876024537,12.879121030496558,11.09180604969281,329,83
working_memory,3,1,R0,fused,0.17837269036692815,12.763348897596458,10.904200106392874,329,83
working_memory,3,1,R0,equal_weight,0.18561426497173106,12.63021471037545,10.800283715151357,329,83
working_memory,3,2,R0,FC,0.13799033953099718,13.85993567231044,11.398909844445312,330,82
working_memory,3,2,R0,SC,0.015187945699944638,13.308977690958285,10.521067213323125,330,82
working_memory,3,2,R0,FP,0.1531739041701704,12.56502790035304,9.946771248051306,330,82
working_memory,3,2,R0,fused,0.1242724595290071,12.836436092815822,10.11636207437607,330,82
working_memory,3,2,R0,equal_weight,0.10896322095023056,12.66272328203238,9.869261277063897,330,82
working_memory,3,3,R0,FC,0.49680163168673885,10.441939429255276,8.252199186361286,330,82
working_memory,3,3,R0,SC,0.27776944495556943,11.822095568877748,9.642974999338033,330,82
working_memory,3,3,R0,FP,0.47564202934589095,10.856475692788187,8.906200239635687,330,82
working_memory,3,3,R0,fused,0.49680163168673885,10.441939429255276,8.252199186361286,330,82
working_memory,3,3,R0,equal_weight,0.4575857645615943,10.588681913347626,8.558213858471282,330,82
working_memory,3,4,R0,FC,0.3647372701336913,12.109710730506002,9.70940420241633,330,82
working_memory,3,4,R0,SC,0.059176055671054426,11.885404443432375,9.558159548335377,330,82
working_memory,3,4,R0,FP,0.3726135561513244,10.73111390295823,8.317227057339737,330,82
working_memory,3,4,R0,fused,0.38099308990868547,10.511415964086046,8.100159422828701,330,82
working_memory,3,4,R0,equal_weight,0.37586878663551304,10.418007316839677,8.029735088798962,330,82
working_memory,4,0,R0,FC,0.08741895181732796,13.650730164174018,11.260384578581773,329,83
working_memory,4,0,R0,SC,0.06017590163721376,12.14189657659608,9.794658826293741,329,83
working_memory,4,0,R0,FP,0.17928809863270306,11.482071196155255,9.354839729676462,329,83
working_memory,4,0,R0,fused,0.09643848271698525,12.315993979598879,10.05107808773298,329,83
working_memory,4,0,R0,equal_weight,0.09923410009197536,11.811964499250283,9.528129305816899,329,83
working_memory,4,1,R0,FC,0.20017163492264634,12.944102512208595,10.2410062048859,329,83
working_memory,4,1,R0,SC,0.3022740513703532,11.373318075495401,9.331653561245673,329,83
working_memory,4,1,R0,FP,0.1995796288610267,11.986993554921346,9.4384271003473,329,83
working_memory,4,1,R0,fused,0.24464056410694468,12.069681595938912,9.539154346740938,329,83
working_memory,4,1,R0,equal_weight,0.31268368566278537,11.234405746589514,9.173266946512372,329,83
working_memory,4,2,R0,FC,0.29823865423951523,11.623529268739704,9.553155014586133,330,82
working_memory,4,2,R0,SC,-0.03897620629042424,12.327692914961588,10.282657331172627,330,82
working_memory,4,2,R0,FP,0.2055915225731355,10.694132902009493,8.80237171822312,330,82
working_memory,4,2,R0,fused,0.2804024969326334,11.1832097546808,9.361319430568507,330,82
