task,seed,outer_fold,selected_candidate,selected_hyperparam,baseline_r,selected_r,delta_r,baseline_rmse,selected_rmse,baseline_mae,selected_mae,a_oof_r,b_oof_r,c_oof_r,b_best_a,c_best_lambda
fluid_intelligence,7,2,B,0.25,0.3627153046151437,0.35688767282674233,-0.005827631788401344,4.576822760477104,4.5915267631391705,3.818092556973815,3.8442914541492095,0.33724668204330027,0.34678997106790577,0.3265253566925512,0.25,10.0
fluid_intelligence,7,3,B,0.5,0.3546811825466583,0.34843371791210204,-0.006247464634556277,4.833162700613825,4.844380384515895,3.9812707196363233,3.9827764426809944,0.28071327387156364,0.29004894113528873,0.2739033691870878,0.5,10.0
fluid_intelligence,7,4,B,0.1,0.3076107222613897,0.3242372279773328,0.016626505715943096,4.49052195882734,4.458184988281261,3.7632777354846016,3.73873714144036,0.3311112795908451,0.33140454492590193,0.31164389317025976,0.1,100.0
fluid_intelligence,8,0,B,0.1,0.37099964623935133,0.3736956294453089,0.0026959832059575417,4.559609337546608,4.5490664100045946,3.8328709528391327,3.822720327767485,0.3779905729857822,0.3786126098086962,0.36646301776112633,0.1,10.0
fluid_intelligence,8,1,B,0.25,0.39710086641999487,0.38659853874249095,-0.01050232767750392,4.682732572691194,4.709320978958206,3.758395205946999,3.7647340631465513,0.28714138874322703,0.2923698878547121,0.266180721182083,0.25,100.0
fluid_intelligence,8,2,B,0.25,0.42320066694501074,0.42855182934373975,0.005351162398729015,4.450081937036113,4.441867328082036,3.615393383655837,3.607146050964291,0.28976822677347513,0.291922802605526,0.27250736695652805,0.25,100.0
fluid_intelligence,8,3,B,1.5,0.192478202801461,0.1743061880795499,-0.0181720147219111,4.603430282337959,4.735133788873794,3.9503984496266176,3.9443473760293486,0.31629433228969683,0.33422351298084957,0.3091962088295102,1.5,100.0
fluid_intelligence,8,4,B,0.5,0.34718493037388537,0.3616050451411905,0.014420114767305148,4.900316694218685,4.871704911643129,4.095020065285687,4.0306576797126885,0.3179179063087133,0.3226338958971774,0.29617902596672335,0.5,100.0
fluid_intelligence,9,0,A,0.0,0.4810091440511011,0.4810091440511011,0.0,4.477161584976402,4.477161584976402,3.775835422989935,3.775835422989935,0.30392835989776024,0.30392835989776024,0.2954470760039079,0.0,0.0
fluid_intelligence,9,1,B,1.0,0.3457546189957902,0.3258159787329087,-0.019938640262881502,4.799741536548538,4.7820466182572705,4.087473547737012,3.986031833949971,0.3001180460641537,0.31858467308054217,0.30873041985797367,1.0,0.0
fluid_intelligence,9,2,A,0.0,0.49728733437564515,0.49728733437564515,0.0,4.100308563332057,4.100308563332057,3.3986396922160176,3.3986396922160176,0.2668423126436644,0.2668423126436644,0.254421813998408,0.0,100.0
fluid_intelligence,9,3,B,0.5,0.4381173374097811,0.4118592718598211,-0.02625806554996002,4.490828205920571,4.548803344177773,3.6345791022190275,3.6747582162612367,0.32081912009537816,0.3408393150514569,0.327327443167579,0.5,10.0
fluid_intelligence,9,4,B,0.25,0.32664570497343504,0.32814257481829934,0.0014968698448643014,4.601012870818003,4.598161242108714,3.8293137386171505,3.8177145112886173,0.3713731506366751,0.3786719039627223,0.3472519543585419,0.25,100.0
