seed,fold,model,modality,family,size,inner_r,inner_rmse,inner_mae,inner_lambda,selected,n_edges
7373,2,R-MATCHED/N-MATCHED,fc,direct_topk,600,0.29827419231509456,10.793349182099044,8.69081816631774,1000.0,0,600
7373,2,R-MATCHED/N-MATCHED,fc,direct_topk,1200,0.3235245690635091,10.710267711026592,8.498147769528485,1000.0,1,1200
7373,2,R-MATCHED/N-MATCHED,fc,roi_incident,5,0.2544755116082573,11.499409058870432,9.219015980891324,100.0,0,565
7373,2,R-MATCHED/N-MATCHED,fc,roi_incident,10,0.2861831466483976,10.87284392882956,8.744409357429154,1000.0,0,1105
7373,2,R-MATCHED/N-MATCHED,fc,roi_incident,15,0.28544042536642916,10.941597976974167,8.770506573208701,1000.0,0,1620
7373,2,R-MATCHED/N-MATCHED,sc,direct_topk,100,0.023293632985121764,11.424641550975396,9.281790364157688,1000.0,0,100
7373,2,R-MATCHED/N-MATCHED,sc,direct_topk,300,-0.006338622144081402,11.627184626783421,9.398357100064302,1000.0,0,300
7373,2,R-MATCHED/N-MATCHED,sc,direct_topk,600,-0.015053468542693238,11.855984224383175,9.585576513760868,1000.0,0,600
7373,2,R-MATCHED/N-MATCHED,sc,direct_topk,1200,0.05470181071072475,11.835136078284021,9.52683223738803,1000.0,0,1200
7373,2,R-MATCHED/N-MATCHED,sc,roi_incident,5,0.07503719759224994,13.12945846628941,10.717430021130083,100.0,1,565
7373,2,R-MATCHED/N-MATCHED,sc,roi_incident,10,0.033103314837135196,11.857482089748578,9.56950924225613,1000.0,0,1105
7373,2,R-MATCHED/N-MATCHED,sc,roi_incident,15,0.03491521844795337,11.931176936988699,9.558806585410979,1000.0,0,1620
7373,3,R-MATCHED/N-MATCHED,fc,direct_topk,100,0.1273661764729294,11.364609219323906,9.186814070370913,1000.0,0,100
7373,3,R-MATCHED/N-MATCHED,fc,direct_topk,300,0.16033397645624606,11.345926004668762,9.133577083050392,1000.0,0,300
7373,3,R-MATCHED/N-MATCHED,fc,direct_topk,600,0.19425742531328558,11.320280928884555,9.07706246952741,1000.0,0,600
7373,3,R-MATCHED/N-MATCHED,fc,direct_topk,1200,0.22422148118357926,11.319956005406238,8.99000358283774,1000.0,0,1200
7373,3,R-MATCHED/N-MATCHED,fc,roi_incident,5,0.18570654825569022,11.292559661411902,9.076272123130167,1000.0,0,565
7373,3,R-MATCHED/N-MATCHED,fc,roi_incident,10,0.2533296457237064,11.172265185600121,8.935108983194825,1000.0,0,1105
7373,3,R-MATCHED/N-MATCHED,fc,roi_incident,15,0.2716789462725678,11.146038249482444,8.877412908868475,1000.0,1,1620
7373,3,R-MATCHED/N-MATCHED,sc,direct_topk,100,-0.05866812725849582,11.711411010691116,9.441801827362049,1000.0,0,100
7373,3,R-MATCHED/N-MATCHED,sc,direct_topk,300,-0.06083507264584094,11.929123090887844,9.651712133979666,1000.0,0,300
7373,3,R-MATCHED/N-MATCHED,sc,direct_topk,600,-0.02625552911643843,12.00680644323782,9.747324747110634,1000.0,0,600
7373,3,R-MATCHED/N-MATCHED,sc,direct_topk,1200,0.02646767312095657,12.031848455465052,9.768057679825898,1000.0,0,1200
7373,3,R-MATCHED/N-MATCHED,sc,roi_incident,5,0.01669544893566479,11.909394227491376,9.564094546118117,1000.0,0,565
7373,3,R-MATCHED/N-MATCHED,sc,roi_incident,10,0.023426373618216707,11.98991067536633,9.705127282468718,1000.0,0,1105
7373,3,R-MATCHED/N-MATCHED,sc,roi_incident,15,0.04340105613375705,11.989714781844517,9.65336967470948,1000.0,1,1620
7373,4,R-MATCHED/N-MATCHED,fc,direct_topk,100,0.13700651483840165,12.512613782323236,10.149558012149694,10.0,0,100
7373,4,R-MATCHED/N-MATCHED,fc,direct_topk,300,0.1467205207483444,12.096744585594127,9.757511883921028,100.0,0,300
7373,4,R-MATCHED/N-MATCHED,fc,direct_topk,600,0.14905915274603151,12.509897234369753,9.76554357811971,100.0,0,600
7373,4,R-MATCHED/N-MATCHED,fc,direct_topk,1200,0.1518867836858139,11.86293824763057,9.419852954218285,1000.0,0,1200
7373,4,R-MATCHED/N-MATCHED,fc,roi_incident,5,0.11452797108036392,12.918278752112275,10.124870781950413,100.0,0,565
7373,4,R-MATCHED/N-MATCHED,fc,roi_incident,10,0.14586028947889385,11.85929727111023,9.416765301054278,1000.0,0,1105
7373,4,R-MATCHED/N-MATCHED,fc,roi_incident,15,0.16970430574478784,11.881213362113089,9.336261717015548,1000.0,1,1620
7373,4,R-MATCHED/N-MATCHED,sc,direct_topk,100,-0.05060077055990338,12.00819337702144,9.783135838930292,1000.0,0,100
7373,4,R-MATCHED/N-MATCHED,sc,direct_topk,300,0.021875105675750316,13.445889784988038,10.818517474825908,100.0,0,300
7373,4,R-MATCHED/N-MATCHED,sc,direct_topk,600,-0.02596667714537533,12.275846462960454,10.004902974833117,1000.0,0,600
